Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
2/28/2018,10903.01875,806090,2.32E+19,4107687.5,375917303,1.29E+22,51.29908837,4393401,125,36.529999,15.46,271.649994,118.75,23.690001,3.004715232,40
3/1/2018,10352.04625,819973,2.46E+19,4105625,376261398,1.29E+22,52.05574602,4393786.143,124.720001,36.48,15.54,267.700012,119.32,23.610001,3.082961849,23
3/2/2018,11100.2925,749016,2.34E+19,4103675,376561741,1.29E+22,42.01376982,4394171.286,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.082961849,23
3/3/2018,11305.1225,930019,2.70E+19,4101425,376827137,1.29E+22,37.96379904,4394556.429,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.082961849,23
3/4/2018,11171.8175,802165,2.20E+19,4099575,377071672,1.29E+22,33.46586197,4394941.571,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.082961849,23
3/5/2018,11558.475,850558,2.40E+19,4097712.5,377377934,1.41E+22,44.53138052,4395326.714,125.18,37.150002,15.49,272.190002,118.029999,23.51,3.082961849,23
3/6/2018,11246.7475,836883,2.56E+19,4095762.5,377673835,1.41E+22,37.24003205,4395711.857,126.529999,37.150002,15.78,272.880005,118.139999,23.450001,3.082961849,23
3/7/2018,10735.88625,917543,2.57E+19,4093800,377975926,1.41E+22,34.8377064,4396097,125.720001,36.82,15.53,272.779999,118.010002,23.43,3.082961849,23
3/8/2018,9552.75875,915691,2.64E+19,4091775,378258010,1.41E+22,35.63080068,4397691.429,125.419998,36.799999,15.55,274.100006,118.690002,23.58,3.082961849,23
3/9/2018,8980.19249,881619,2.40E+19,4089950,378539983,1.41E+22,34.8459414,4399285.857,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.082961849,23
3/10/2018,9251.2925,810961,2.30E+19,4088200,378767332,1.41E+22,40.27322368,4400880.286,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.082961849,23
3/11/2018,8680.6075,884558,2.48E+19,4086287.5,378986704,1.41E+22,39.61038377,4402474.714,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.082961849,23
3/12/2018,9433.47374,844766,2.64E+19,4084275,379255016,1.41E+22,33.46783473,4404069.143,125.540001,37.509998,15.61,278.519989,118.589996,23.52,3.082961849,23
3/13/2018,9047.5125,764096,2.60E+19,4082300,379526892,1.41E+22,60.67628875,4405663.571,125.779999,37.25,15.61,276.720001,119.190002,23.459999,3.082961849,23
3/14/2018,9260.70875,574881,2.33E+19,4080500,379804028,1.41E+22,37.04036657,4407258,125.699997,37.029999,15.61,275.299988,120.239998,23.469999,3.082961849,23
