Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,FINX,QQQ,RIOT,Open_Interest_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All
2018-02-23,9809.72125,739558.0,2.19867397260299e+19,4117337.5,374596429.0,1.29166153528337e+22,73.94810594,4406443.142857143,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.0047152319999997,40.0,23.195,168.17,10.27,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-24,10412.36875,704052.0,2.15296719946764e+19,4115525.0,374819339.0,1.29166153528337e+22,96.10766905,4403834.714285715,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.0047152319999997,40.0,23.195,168.17,10.27,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-25,9585.285,528643.0,2.56496333302509e+19,4113387.5,375037743.0,1.29166153528337e+22,41.44060303,4401226.285714285,126.139999,37.700001,15.59,274.709991,118.129997,23.5,3.0047152319999997,40.0,23.195,168.17,10.27,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-26,9627.71625,669611.0,2.11826602706455e+19,4111625.0,375315893.0,1.29166153528337e+22,46.19035139,4398617.857142857,126.449997,37.91,15.68,277.899994,118.169998,23.469999,3.0047152319999997,40.0,23.65,170.39999,9.9,6050.0,3638.0,5246.0,2412.0,804.0
2018-02-27,10272.9025,713393.0,2.37361425145105e+19,4109625.0,375644263.0,1.29166153528337e+22,50.54578675,4396009.428571428,125.129997,37.380001,15.48,274.429993,118.0,23.620001,3.0047152319999997,40.0,23.28,168.28999,9.96,6032.0,3458.0,5291.0,2574.0,741.0
2018-02-28,10903.01875,806090.0,2.31831700192131e+19,4107687.5,375917303.0,1.29166153528337e+22,51.29908837,4393401.0,125.0,36.529999,15.46,271.649994,118.75,23.690001,3.0047152319999997,40.0,23.1,167.21001,10.58,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-01,10352.04625,819973.0,2.46383456054562e+19,4105625.0,376261398.0,1.29166153528337e+22,52.05574602,4393786.142857143,124.720001,36.48,15.54,267.700012,119.32,23.610001,3.0829618489999997,23.0,22.84,164.48,10.13,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-02,11100.2925,749016.0,2.33923309423381e+19,4103675.0,376561741.0,1.29166153528337e+22,42.01376982,4394171.285714285,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.0829618489999997,23.0,23.1132,165.99001,10.58,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-03,11305.1225,930019.0,2.70140446112294e+19,4101425.0,376827137.0,1.29166153528337e+22,37.96379904,4394556.428571428,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.0829618489999997,23.0,23.1132,165.99001,10.58,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-04,11171.8175,802165.0,2.19748608763854e+19,4099575.0,377071672.0,1.29166153528337e+22,33.46586197,4394941.571428572,125.389999,36.720001,15.56,269.079987,118.349998,23.51,3.0829618489999997,23.0,23.1132,165.99001,10.58,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-05,11558.475,850558.0,2.40269336134816e+19,4097712.5,377377934.0,1.41330451057245e+22,44.53138052,4395326.714285715,125.18,37.150002,15.49,272.190002,118.029999,23.51,3.0829618489999997,23.0,23.62,167.83,10.83,6032.0,3458.0,5291.0,2574.0,741.0
2018-03-06,11246.7475,836883.0,2.55976946336745e+19,4095762.5,377673835.0,1.41330451057245e+22,37.24003205,4395711.857142857,126.529999,37.150002,15.78,272.880005,118.139999,23.450001,3.0829618489999997,23.0,23.6228,168.53999,10.39,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-07,10735.88625,917543.0,2.57262386272318e+19,4093800.0,377975926.0,1.41330451057245e+22,34.8377064,4396097.0,125.720001,36.82,15.53,272.77999900000003,118.010002,23.43,3.0829618489999997,23.0,23.845,168.92999,10.08,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-08,9552.75875,915691.0,2.64461998651716e+19,4091775.0,378258010.0,1.41330451057245e+22,35.63080068,4397691.428571428,125.419998,36.799999,15.55,274.100006,118.690002,23.58,3.0829618489999997,23.0,23.82,169.86,9.57,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-09,8980.192490000001,881619.0,2.40111779165399e+19,4089950.0,378539983.0,1.41330451057245e+22,34.8459414,4399285.857142857,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.0829618489999997,23.0,24.2,173.16,9.24,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-10,9251.2925,810961.0,2.29602942211454e+19,4088200.0,378767332.0,1.41330451057245e+22,40.27322368,4400880.285714285,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.0829618489999997,23.0,24.2,173.16,9.24,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-11,8680.6075,884558.0,2.48187211759503e+19,4086287.5,378986704.0,1.41330451057245e+22,39.61038377,4402474.714285715,125.540001,37.490002,15.63,278.869995,117.910004,23.549999,3.0829618489999997,23.0,24.2,173.16,9.24,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-12,9433.47374,844766.0,2.64334784914399e+19,4084275.0,379255016.0,1.41330451057245e+22,33.46783473,4404069.142857143,125.540001,37.509998,15.61,278.519989,118.589996,23.52,3.0829618489999997,23.0,24.39,174.08,8.97,5563.0,3000.0,4599.0,2563.0,964.0
2018-03-13,9047.5125,764096.0,2.60453149984192e+19,4082300.0,379526892.0,1.41330451057245e+22,60.67628875,4405663.571428572,125.779999,37.25,15.61,276.720001,119.190002,23.459999,3.0829618489999997,23.0,24.2,171.71001,8.7,6429.0,3898.0,5614.0,2531.0,815.0
2018-03-14,9260.70875,574881.0,2.32741156550476e+19,4080500.0,379804028.0,1.41330451057245e+22,37.04036657,4407258.0,125.699997,37.029999,15.61,275.299988,120.239998,23.469999,3.0829618489999997,23.0,24.49,171.67999,8.15,6429.0,3898.0,5614.0,2531.0,815.0
